Street,Suburb,Property Number,Lot/DP,Land Number 1,Land Number 2,Land Numbers,Description,Ward,Status,Area1,Area2,Areas,Zone1,Zone2,Zones,Application,Content
"52 SYDNEY AV","CAMP HILL",1070265,1SP232396,11307365,N/A,N/A,"L.1 SP.232396 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 405 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"54 SYDNEY AV","CAMP HILL",1070266,2SP232396,11307366,N/A,N/A,"L.2 SP.232396 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 405 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"55 SYDNEY AV","CAMP HILL",552052,118RP13178,10825977,N/A,N/A,"L.118 RP.13178 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 809 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"56 SYDNEY AV","CAMP HILL",552053,43RP73375,10825978,N/A,N/A,"L.43 RP.73375 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 630 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"57 SYDNEY AV","CAMP HILL",552054,42RP73375,10825979,N/A,N/A,"L.42 RP.73375 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 630 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"58 SYDNEY AV","CAMP HILL",552055,44RP73375,10825980,N/A,N/A,"L.44 RP.73375 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 630 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"59 SYDNEY AV","CAMP HILL",552056,41RP73375,10825981,N/A,N/A,"L.41 RP.73375 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 630 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"60 SYDNEY AV","CAMP HILL",552057,45RP73375,10825982,N/A,N/A,"L.45 RP.73375 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 630 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"61 SYDNEY AV","CAMP HILL",552058,40RP73375,10825983,N/A,N/A,"L.40 RP.73375 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 630 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"62 SYDNEY AV","CAMP HILL",552059,46RP73375,10825984,N/A,N/A,"L.46 RP.73375 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 630 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"63 SYDNEY AV","CAMP HILL",552060,39RP73375,10825985,N/A,N/A,"L.39 RP.73375 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 630 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"64 SYDNEY AV","CAMP HILL",552061,47RP73375,10825986,N/A,N/A,"L.47 RP.73375 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 630 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"65 SYDNEY AV","CAMP HILL",552062,38RP73375,10825987,N/A,N/A,"L.38 RP.73375 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 630 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"66 SYDNEY AV","CAMP HILL",552063,48RP73375,10825988,N/A,N/A,"L.48 RP.73375 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 630 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"67 SYDNEY AV","CAMP HILL",552064,37RP73375,10825989,N/A,N/A,"L.37 RP.73375 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 630 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
"68 SYDNEY AV","CAMP HILL",552065,49RP73375,10825990,N/A,N/A,"L.49 RP.73375 PAR BULIMBA",MORNINGSIDE,CURRENT,"Area: 630 sq.m",N/A,N/A,"QPP-LDR - LOW DENSITY RESIDENTIAL ZONE",N/A,N/A,"There are no applications against this property","QPP-SHO - STREETSCAPE HIERARCHY OVERLAY | QPP-DHO - DWELLING HOUSE CHARACTER OVERLAY | QPP-CIO - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY | QPP-AEO-PANS - AIRPORT ENVIRONS OVERLAY - PROCEDURES AIR NAV SERVICES-AIRCRAFT OPS SURFACES SUB-CATEGORIES | QPP-AEO-S13 - AIRPORT ENVIRONS OVERLAY - BBS SUB-CATEGORIES - DISTANCE FROM AIRPORT 8-13KM SUB-CATEGORY | QPP-CIO-CIM - CRITICAL INFRASTRUCTURE AND MOVEMENT NETWORK (CIMN) OVERLAY - CIMN PLANNING AREA SUB-CATEGORY | QPP-AEO-OLS - AIRPORT ENVIRONS OVERLAY - OBSTACLE LIMITATION SURFACES (OLS) SUB-CATEGORIES | QPP-AEO - AIRPORT ENVIRONS OVERLAY | QPP-RHO - ROAD HIERARCHY OVERLAY | QPP-BNO - BICYCLE NETWORK OVERLAY | QPP-AEO-BBS - AIRPORT ENVIRONS OVERLAY - BIRD AND BAT STRIKE ZONE SUB-CATEGORIES | QPP-AEO-OHL - AIRPORT ENVIRONS OVERLAY - HORIZONTAL LIMITATION SURFACE BOUNDARY SUB-CATEGORY | QPP-RGNP - RIVER GATEWAY NEIGHBOURHOOD PLAN |"
